sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Frontpage not logged,130,9036,7069,18097,318,23738,0.0,0.5691768826619965,13.215088318191768
Login,130,9168,10201,15437,620,19670,0.0,0.5409296500185165,10.262417196153574
Frontpage logged,130,14569,15853,23223,636,31039,0.0,0.5032926956743929,11.655074702670163
View course,130,10962,11418,19055,996,24317,1.0,0.5013497878904744,3.0320175412167374
Logout,130,0,0,0,0,0,1.0,0.5053980398331409,0.4910850094081789
TOTAL,650,8747,8232,18503,0,31039,0.4,2.4915097015554686,36.06048909413498
