Frontpage not logged,780,12526,8352,19643,130,324424,0.44743589743589746,0.7015782812951135,9.356502759316374
Login,780,13152,6571,17760,140,332052,0.41025641025641024,0.6997254026336587,8.169270422169902
Frontpage logged,780,35161,10183,76337,130,365746,0.5166666666666667,0.6975253054132434,8.487935082806537
View course,780,16582,9434,20142,132,355616,1.0,0.6973750089407053,2.558512899481886
Logout,780,0,0,0,0,0,1.0,0.6986749361115515,0.6788882435849549
TOTAL,3900,15484,6690,19230,0,365746,0.6748717948717948,3.4819407802225766,29.1232496481789
