sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Frontpage not logged,30,2564,2632,4412,318,4926,0.0,2.837684449489217,65.88471463535755
Login,30,2089,2165,2786,620,3698,0.0,2.430724355858046,46.117614142764545
Frontpage logged,30,2988,3044,3850,636,4739,0.0,2.0797227036395145,48.16060983535528
View course,30,3104,3152,4123,996,4975,1.0,2.028946300554579,12.251810728898958
Logout,30,0,0,0,0,0,1.0,2.3605319065229367,2.293680905263986
TOTAL,150,2149,2463,3850,0,4975,0.4,9.16198387490838,132.5885205113914
